pool_size,take_up,years,initial_capital_mult,subsidy_fraction_of_premium,subsidy_per_enrollee,member_contribution,initial_capital,psi,mc_se,mean_terminal_surplus,p05_terminal_surplus,income_per_enrollee
5000,Random,1,0.5,0.75,20184.176597839352,8571.47462433637,71889128.05543931,0.0,0.0,95911400.33379017,81152242.28630829,28755.651222175722
5000,Random,1,0.5,0.8,21529.788371028644,8571.47462433637,75253157.48841253,0.0,0.0,105330682.74611516,90571524.69863328,30101.262995365014
5000,Random,1,0.5,0.85,22875.400144217932,8571.47462433637,78617186.92138575,0.0,0.0,114749965.15844023,99990807.11095834,31446.874768554302
5000,Random,1,0.5,0.9,24221.011917407224,8571.47462433637,81981216.35435899,0.0,0.0,124169247.57076523,109410089.52328336,32792.486541743594
5000,Random,1,0.5,0.95,25566.623690596512,8571.47462433637,85345245.7873322,0.0,0.0,133588529.98309028,118829371.93560839,34138.09831493288
5000,Random,1,0.5,1.0,26912.235463785804,8571.47462433637,88709275.22030543,0.0,0.0,143007812.39541528,128248654.34793341,35483.71008812217
5000,Random,1,0.5,1.05,28257.847236975096,8571.47462433637,92073304.65327866,0.0,0.0,152427094.8077404,137667936.7602585,36829.321861311466
5000,Random,1,0.5,1.1,29603.459010164388,8571.47462433637,95437334.0862519,0.0,0.0,161846377.22006541,147087219.17258352,38174.93363450076
5000,Random,1,0.5,1.15,30949.070783353673,8571.47462433637,98801363.5192251,0.0,0.0,171265659.63239038,156506501.5849085,39520.54540769004
5000,Random,1,0.5,1.2,32294.682556542964,8571.47462433637,102165392.95219834,0.0,0.0,180684942.04471546,165925783.99723357,40866.15718087934
5000,Random,1,0.5,1.25,33640.294329732256,8571.47462433637,105529422.38517156,0.0,0.0,190104224.4570405,175345066.4095586,42211.768954068626
5000,Random,1,0.5,1.3,34985.906102921545,8571.47462433637,108893451.81814478,0.0,0.0,199523506.8693655,184764348.82188362,43557.380727257914
5000,Random,1,0.5,1.35,36331.51787611084,8571.47462433637,112257481.25111802,0.0,0.0,208942789.28169054,194183631.23420864,44902.99250044721
5000,Random,1,0.5,1.4,37677.12964930012,8571.47462433637,115621510.68409123,0.0,0.0,218362071.69401556,203602913.64653367,46248.60427363649
5000,Random,1,0.5,1.45,39022.74142248942,8571.47462433637,118985540.11706446,0.0,0.0,227781354.10634053,213022196.0588587,47594.216046825786
5000,Random,1,0.5,1.5,40368.353195678705,8571.47462433637,122349569.55003768,0.0,0.0,237200636.5186656,222441478.47118372,48939.827820015074
5000,Random,1,0.5,1.55,41713.964968868,8571.47462433637,125713598.98301092,0.0,0.0,246619918.93099064,231860760.88350874,50285.43959320437
5000,Random,1,0.5,1.6,43059.57674205729,8571.47462433637,129077628.41598414,0.0,0.0,256039201.34331572,241280043.29583383,51631.05136639366
5000,Random,1,0.5,1.65,44405.18851524658,8571.47462433637,132441657.84895736,0.0,0.0,265458483.75564063,250699325.7081588,52976.663139582946
