group,estimate,se,ci_low,ci_high,n,wtd_n,scenario,measure,estimate_pct,ci_low_pct,ci_high_pct
Q5 (richest),0.015843600018453852,0.004066721337496382,0.007872972661800386,0.02381422737510732,1428,42285095.91731937,"Informal sector, full coverage, no contribution","CHE, CTP >= 40%",1.5843600018453852,0.7872972661800386,2.381422737510732
Q1 (poorest),0.31959853526799664,0.02733698926874816,0.2660190208554923,0.373178049680501,700,42275561.8270552,Universal coverage,CHE > 10%,31.959853526799662,26.601902085549227,37.3178049680501
Q2,0.0592039280534878,0.013982214595303365,0.031799291022582915,0.08660856508439269,707,42250411.20141057,Universal coverage,CHE > 10%,5.92039280534878,3.1799291022582916,8.660856508439268
Q3,0.047383797979494664,0.009319794649382302,0.029117336123396252,0.06565025983559308,834,42327655.09285391,Universal coverage,CHE > 10%,4.738379797949467,2.911733612339625,6.565025983559308
Q4,0.040424609398494654,0.010926702650661011,0.019008665733420728,0.06184055306356858,1016,42290878.59413037,Universal coverage,CHE > 10%,4.042460939849465,1.9008665733420729,6.184055306356858
Q5 (richest),0.04227048222152944,0.008281949015029806,0.026038160430274043,0.058502804012784834,1428,42285095.91731937,Universal coverage,CHE > 10%,4.227048222152944,2.6038160430274044,5.850280401278483
Q1 (poorest),0.4303570257908666,0.035061160603397014,0.3616384137520338,0.4990756378296994,700,42275561.8270552,Universal coverage,"CHE, CTP >= 40%",43.03570257908666,36.16384137520338,49.90756378296994
Q2,0.1637231555772124,0.02323570918721835,0.11818200241501797,0.20926430873940682,707,42250411.20141057,Universal coverage,"CHE, CTP >= 40%",16.37231555772124,11.818200241501797,20.92643087394068
Q3,0.04678933940259065,0.00837289824736621,0.030378760391534337,0.06319991841364696,834,42327655.09285391,Universal coverage,"CHE, CTP >= 40%",4.678933940259065,3.0378760391534336,6.319991841364696
Q4,0.019443024746778816,0.00476786241675955,0.010098186126687995,0.028787863366869636,1016,42290878.59413037,Universal coverage,"CHE, CTP >= 40%",1.9443024746778816,1.0098186126687996,2.8787863366869635
Q5 (richest),0.014381836312639762,0.003967572401105604,0.0066055373004176715,0.02215813532486185,1428,42285095.91731937,Universal coverage,"CHE, CTP >= 40%",1.4381836312639762,0.6605537300417672,2.215813532486185
